Financial Row,Type,Subsidiary: Name,Department: Name,Account (Line): Name,Date,Accounting Period: Start Date,Document Number,Transaction ID,Entity (Line),Entity (Line): Internal ID,Entity (Line): HubSpot Deal ID,ICC Projects,Name,Description,Amount
Ordinary Income/Expense,,,,,,,,,,,,,,,
Income,,,,,,,,,,,,,,,
411000 - Consultant Rev C2G Resourcing,,,,,,,,,,,,,,,
Total - 411000 - Consultant Rev C2G Resourcing,,,,,,,,,,,,,,,0.0
411100 - Interco - Data Science Revenue,,,,,,,,,,,,,,,
,Journal,futureproofAI India Private Limited,FPAI -General,Interco - Data Science Revenue,2024-08-12,2024-08-01,32578.0,572819.0,- No Entity -,,,,,,49872.999495140655
,Journal,futureproofAI India Private Limited,FPAI -General,Interco - Data Science Revenue,2024-08-12,2024-08-01,48168.0,839551.0,- No Entity -,,,,,,-116750.28815501828
,Journal,futureproofAI India Private Limited,FPAI -General,Interco - Data Science Revenue,2024-08-12,2024-08-01,32579.0,572820.0,- No Entity -,,,,,,116750.28815501828
,Journal,futureproofAI India Private Limited,FPAI -General,Interco - Data Science Revenue,2024-08-12,2024-08-01,48167.0,839550.0,- No Entity -,,,,,,-49872.999495140655
,Journal,Forthpoint,Data Science & Insights,Interco - Data Science Revenue,2024-08-30,2024-08-01,51595.0,898556.0,- No Entity -,,,ICC 1364 ICC in Forth Point Represents Blend360 : Franklin Templeton - Vasu POC Team,,Reclass F. Templeton to IC July revenues related to bill SC24122,15861.26792328383
,Journal,Forthpoint,Data Science & Insights,Interco - Data Science Revenue,2024-08-30,2024-08-01,51596.0,898557.0,- No Entity -,,,ICC 939 Walmart : Walmart - FY25 Marketing Advanced Analytics Retainer,,Reclass Walmart to IC Aug revenues,37349.77769216918
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 867 CVS Health : Retail Analytics DS and BI - 2024,,CVS: Retail Analytics DS and BI - 2024 Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,17288.047420349736
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1364 ICC in Forth Point Represents Blend360 : Franklin Templeton - Vasu POC Team,,,-15861.27
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 943 The Blackstone Group : Blackstone - DS Retainer 2024 H1,,Blackstone - DS Retainer 2024 H1 Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2306,1920.8941578166373
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1040 CVS Health : MGE/PMH/GPT 2024 Team,,CVS: MGE/PMH/GPT 2024 Team Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,5762.682473449912
,Journal,xElimination Blend360,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,52164.0,913917.0,- No Entity -,,,,,TopSide Management Book Elim  from Elim JE 52153,92827.23
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1178 CVS Health : RX Supply Chain DS (Halil),,,-21658.08
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1178 CVS Health : RX Supply Chain DS (Halil),,CVS: RX Supply Chain DS (Halil) Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,21658.081629382585
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1040 CVS Health : MGE/PMH/GPT 2024 Team,,,-5762.68
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1051 Wyndham Hotels and Resorts : Wyndham - Guest Analytics Retainer,,,-10564.92
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1051 Wyndham Hotels and Resorts : Wyndham - Guest Analytics Retainer,,Wyndham - Guest Analytics Retainer Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2303,10564.917867991506
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 806 LinkedIn Corporation : LinkedIn Measurement Experimentation Support (Zaid),,,-7683.58
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 939 Walmart : Walmart - FY25 Marketing Advanced Analytics Retainer,,Walmart - FY25 Marketing Advanced Analytics Retainer Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2314,8804.098223326255
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 943 The Blackstone Group : Blackstone - DS Retainer 2024 H1,,,-1920.89
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 880 NBCU : AWB 2.0 Pod 1H 2024 Extension,,NBCU: AWB 2.0 Pod 1H 2024 Extension Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2313,7043.278578661004
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 880 NBCU : AWB 2.0 Pod 1H 2024 Extension,,,-7043.28
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1222 Franklin Templeton : Franklin Templeton - Vasu POC Team,,Franklin Templeton - Vasu POC Team Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2309,12101.633194244816
,Journal,Montevideo Labs,Data Science,Interco - Data Science Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 806 LinkedIn Corporation : LinkedIn Measurement Experimentation Support (Zaid),,LinkedIn Measurement Experimentation Support (Zaid) FY2025H1 Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2305,7683.576631266549
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1222 Franklin Templeton : Franklin Templeton - Vasu POC Team,,,-12101.63
,Journal,xElimination Blend360,Data Science & Insights,Interco - Data Science Revenue,2024-08-31,2024-08-01,52164.0,913917.0,- No Entity -,,,,,TopSide Management Book Elim  from Elim JE 52153,53208.26
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 867 CVS Health : Retail Analytics DS and BI - 2024,,,-17288.05
,Journal,xElimination Blend360,Intercompany,Interco - Data Science Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 939 Walmart : Walmart - FY25 Marketing Advanced Analytics Retainer,,,-46153.88
Total - 411100 - Interco - Data Science Revenue,,,,,,,,,,,,,,,146035.485791942
